,surgid,surgyear,total cardiac surgery
5361,237792,2011,230.00
5802,252758,2012,230.00
6870,278509,2010,230.00
9522,353316,2012,230.00
10218,371877,2018,230.00
11899,418237,2019,230.00
12789,446734,2019,230.00
13254,457188,2014,230.00
15049,507471,2019,230.00
15513,517313,2013,230.00
15659,520729,2019,230.00
16533,547573,2013,230.00
17518,575409,2018,230.00
17669,578124,2019,230.00
18502,602573,2012,230.00
21786,693750,2016,230.00
23447,743452,2017,230.00
24140,762270,2010,230.00
25227,786903,2017,230.00
26375,816395,2015,230.00
27913,851599,2013,230.00
28927,877638,2017,230.00
30199,910936,2019,230.00
30684,922212,2014,230.00
33562,997302,2012,230.00
522,116687,2012,229.00
533,117647,2013,229.00
3092,179880,2012,229.00
3099,179880,2019,229.00
3969,203328,2019,229.00
6713,274771,2013,229.00
8358,317737,2018,229.00
10061,366576,2011,229.00
10386,377403,2016,229.00
12716,443726,2016,229.00
15300,512056,2010,229.00
15474,515841,2014,229.00
15617,519607,2017,229.00
17775,581954,2015,229.00
18152,591956,2012,229.00
19098,618429,2018,229.00
20834,665376,2014,229.00
23933,757620,2013,229.00
25530,795643,2010,229.00
26085,810388,2015,229.00
27638,845082,2018,229.00
27688,845830,2018,229.00
27911,851599,2011,229.00
28807,874562,2017,229.00
29408,887370,2018,229.00
30511,920119,2011,229.00
31085,930855,2015,229.00
31694,944522,2014,229.00
31695,944522,2015,229.00
33244,990186,2014,229.00
33587,997435,2017,229.00
280,107859,2010,228.00
524,116687,2014,228.00
2672,169827,2012,228.00
2839,173626,2019,228.00
4134,207845,2014,228.00
5699,247717,2019,228.00
6610,271286,2010,228.00
6614,271286,2014,228.00
7661,298539,2011,228.00
7821,302232,2011,228.00
7822,302232,2012,228.00
8246,313521,2016,228.00
9266,345578,2016,228.00
10507,380729,2017,228.00
11924,419111,2014,228.00
12729,444397,2019,228.00
13499,463913,2019,228.00
16611,549619,2011,228.00
16638,550288,2018,228.00
19359,625148,2019,228.00
19473,627425,2013,228.00
19485,627684,2015,228.00
21185,675338,2015,228.00
22784,724475,2014,228.00
26022,808610,2012,228.00
26594,821558,2014,228.00
26756,823406,2016,228.00
27551,843259,2011,228.00
30893,925958,2013,228.00
31179,932953,2019,228.00
31872,947487,2012,228.00
32555,964517,2015,228.00
32738,971731,2018,228.00
33663,999747,2013,228.00
2580,166635,2010,227.00
2734,171047,2014,227.00
2836,173626,2016,227.00
3095,179880,2015,227.00
3236,183397,2016,227.00
4166,208209,2016,227.00
5169,234290,2019,227.00
5300,237064,2010,227.00
5304,237064,2014,227.00
7754,300212,2014,227.00
7820,302232,2010,227.00
8515,324240,2015,227.00
9269,345578,2019,227.00
12109,424192,2019,227.00
13485,463886,2015,227.00
14292,485140,2012,227.00
14875,501372,2015,227.00
16591,548656,2011,227.00
16949,559849,2019,227.00
17516,575409,2016,227.00
18500,602573,2010,227.00
18579,604203,2019,227.00
19973,639365,2013,227.00
21054,671896,2014,227.00
21532,686314,2012,227.00
22242,706380,2012,227.00
22273,707133,2013,227.00
22274,707133,2014,227.00
22324,710040,2014,227.00
22766,724421,2016,227.00
24532,771476,2012,227.00
25631,798451,2011,227.00
26136,811411,2016,227.00
26490,819248,2010,227.00
27556,843259,2016,227.00
30678,921962,2018,227.00
31814,946809,2014,227.00
32370,959528,2010,227.00
32446,961583,2016,227.00
32486,962973,2016,227.00
32997,983800,2017,227.00
33135,987570,2015,227.00
8,100311,2018,226.00
2838,173626,2018,226.00
4284,210424,2014,226.00
4286,210424,2016,226.00
5825,252841,2015,226.00
6170,259953,2010,226.00
6194,260070,2014,226.00
7259,289676,2019,226.00
11880,418006,2010,226.00
13064,452948,2014,226.00
16535,547573,2015,226.00
20102,642663,2012,226.00
22253,706907,2013,226.00
22788,724475,2018,226.00
23132,732991,2012,226.00
23536,745102,2016,226.00
25333,790659,2013,226.00
25703,800567,2013,226.00
25704,800567,2014,226.00
26396,816941,2016,226.00
27401,840206,2011,226.00
27616,844770,2016,226.00
29278,885247,2018,226.00
29279,885247,2019,226.00
29757,898445,2017,226.00
29769,898605,2019,226.00
29995,903947,2015,226.00
31241,934672,2011,226.00
31839,947038,2019,226.00
32231,956857,2011,226.00
32720,971648,2010,226.00
537,117647,2017,225.00
538,117647,2018,225.00
1597,144683,2017,225.00
1738,148155,2018,225.00
2415,162627,2015,225.00
3856,199674,2016,225.00
4597,219552,2017,225.00
7501,295404,2011,225.00
7505,295404,2015,225.00
8529,324249,2019,225.00
9488,351541,2018,225.00
10551,383014,2011,225.00
11926,419111,2016,225.00
12650,441872,2010,225.00
14868,501257,2018,225.00
14874,501372,2014,225.00
14879,501372,2019,225.00
15464,515630,2014,225.00
16143,533120,2013,225.00
17030,563662,2010,225.00
17162,566065,2012,225.00
17165,566065,2015,225.00
17828,583717,2018,225.00
18592,604530,2012,225.00
21103,673546,2013,225.00
22257,706907,2017,225.00
22490,716418,2010,225.00
22935,727829,2015,225.00
26023,808610,2013,225.00
26622,821980,2012,225.00
29275,885247,2015,225.00
29505,889794,2015,225.00
30472,919726,2012,225.00
32074,954480,2014,225.00
32417,961072,2017,225.00
32418,961072,2018,225.00
33113,987228,2013,225.00
33589,997435,2019,225.00
1421,142167,2011,224.00
1732,148155,2012,224.00
2656,169315,2016,224.00
2733,171047,2013,224.00
2814,173600,2014,224.00
2835,173626,2015,224.00
3966,203328,2016,224.00
4092,206840,2012,224.00
4625,220141,2015,224.00
4738,222013,2018,224.00
5664,247376,2014,224.00
7500,295404,2010,224.00
9525,353316,2015,224.00
10133,369093,2013,224.00
10216,371877,2016,224.00
14224,482730,2014,224.00
14295,485140,2015,224.00
14988,505095,2018,224.00
15057,507773,2017,224.00
19094,618429,2014,224.00
21025,671120,2015,224.00
21758,692907,2018,224.00
22229,706328,2019,224.00
22272,707133,2012,224.00
22704,723357,2014,224.00
22707,723357,2017,224.00
23930,757620,2010,224.00
24426,769859,2016,224.00
26139,811411,2019,224.00
28748,874102,2018,224.00
29520,890303,2010,224.00
30686,922212,2016,224.00
32170,956180,2010,224.00
32462,962711,2012,224.00
32722,971648,2012,224.00
744,124262,2014,223.00
2192,158378,2012,223.00
2830,173626,2010,223.00
3090,179880,2010,223.00
3209,182497,2019,223.00
3628,194309,2018,223.00
4164,208209,2014,223.00
4833,224646,2013,223.00
4835,224646,2015,223.00
5712,248613,2012,223.00
6714,274771,2014,223.00
6941,281567,2011,223.00
8209,311256,2019,223.00
8335,316981,2015,223.00
8835,332715,2015,223.00
10131,369093,2011,223.00
11140,398581,2010,223.00
11830,416851,2010,223.00
12714,443726,2014,223.00
15501,517271,2011,223.00
15505,517271,2015,223.00
16530,547573,2010,223.00
19441,626874,2011,223.00
21703,691039,2013,223.00
21880,696755,2010,223.00
22080,701240,2010,223.00
23446,743452,2016,223.00
23616,746145,2016,223.00
24780,777358,2010,223.00
24893,779759,2013,223.00
25279,788041,2019,223.00
26426,817338,2016,223.00
27910,851599,2010,223.00
28950,877959,2010,223.00
30158,910113,2018,223.00
32018,952160,2018,223.00
33114,987228,2014,223.00
223,106307,2013,222.00
2279,159796,2019,222.00
2630,167760,2010,222.00
2805,173037,2015,222.00
3207,182497,2017,222.00
3847,199226,2017,222.00
4093,206840,2013,222.00
4443,212996,2013,222.00
6548,270644,2018,222.00
7664,298539,2014,222.00
8390,319275,2010,222.00
8514,324240,2014,222.00
9678,357631,2018,222.00
11117,397601,2017,222.00
13877,473935,2017,222.00
14293,485140,2013,222.00
15056,507773,2016,222.00
16145,533120,2015,222.00
18389,598640,2019,222.00
19299,624089,2019,222.00
19556,629041,2016,222.00
19966,639175,2016,222.00
21862,696049,2012,222.00
23135,732991,2015,222.00
23175,734236,2015,222.00
23778,751147,2018,222.00
23783,751753,2013,222.00
24894,779759,2014,222.00
25709,800567,2019,222.00
29277,885247,2017,222.00
29402,887370,2012,222.00
29407,887370,2017,222.00
29870,902046,2010,222.00
30230,913073,2010,222.00
30512,920119,2012,222.00
31328,935737,2018,222.00
33115,987228,2015,222.00
33132,987570,2012,222.00
33351,992952,2011,222.00
1036,130134,2016,221.00
2514,163842,2014,221.00
2635,167760,2015,221.00
3143,181512,2013,221.00
3208,182497,2018,221.00
3609,194220,2019,221.00
4042,205374,2012,221.00
4096,206840,2016,221.00
4098,206840,2018,221.00
4440,212996,2010,221.00
5382,238146,2012,221.00
6549,270644,2019,221.00
6969,281829,2019,221.00
7309,290173,2019,221.00
7755,300212,2015,221.00
8312,316158,2012,221.00
11961,419590,2011,221.00
13776,470110,2016,221.00
14550,492800,2010,221.00
14942,503351,2012,221.00
16479,545862,2019,221.00
16534,547573,2014,221.00
21038,671182,2018,221.00
21154,674541,2014,221.00
22089,701240,2019,221.00
22789,724475,2019,221.00
26025,808610,2015,221.00
29976,903813,2016,221.00
30061,906131,2011,221.00
31188,933022,2018,221.00
31244,934672,2014,221.00
32880,979367,2010,221.00
32958,981504,2018,221.00
33101,986831,2011,221.00
33662,999747,2012,221.00
2236,159364,2016,220.00
4099,206840,2019,220.00
6449,267628,2019,220.00
6948,281567,2018,220.00
11510,409039,2010,220.00
14555,492800,2015,220.00
15655,520729,2015,220.00
16431,545049,2011,220.00
19099,618429,2019,220.00
21022,671120,2012,220.00
21024,671120,2014,220.00
21706,691039,2016,220.00
22563,717917,2013,220.00
23115,732658,2015,220.00
23269,736413,2019,220.00
24530,771476,2010,220.00
25532,795643,2012,220.00
26020,808610,2010,220.00
27825,849821,2015,220.00
28273,860427,2013,220.00
29073,880587,2013,220.00
29481,889287,2011,220.00
29756,898445,2016,220.00
7,100311,2017,219.00
1003,129527,2013,219.00
1502,143224,2012,219.00
1723,147650,2013,219.00
2679,169827,2019,219.00
4444,212996,2014,219.00
5067,232128,2017,219.00
5100,233604,2010,219.00
5119,233918,2019,219.00
6210,260752,2010,219.00
8788,331975,2018,219.00
8789,331975,2019,219.00
9974,364827,2014,219.00
10130,369093,2010,219.00
10222,372042,2012,219.00
11533,409625,2013,219.00
11682,413525,2012,219.00
12620,440243,2010,219.00
12717,443726,2017,219.00
14903,502079,2013,219.00
18674,608669,2014,219.00
18937,614361,2017,219.00
19728,632872,2018,219.00
20340,650036,2010,219.00
21942,698424,2012,219.00
22567,717917,2017,219.00
24531,771476,2011,219.00
25595,797943,2015,219.00
26586,821546,2016,219.00
27138,830599,2018,219.00
28951,877959,2011,219.00
30891,925958,2011,219.00
31949,949853,2019,219.00
32662,969236,2012,219.00
32667,969236,2017,219.00
33565,997302,2015,219.00
1425,142167,2015,218.00
2678,169827,2018,218.00
4281,210424,2011,218.00
4289,210424,2019,218.00
4445,212996,2015,218.00
5161,234290,2011,218.00
6960,281829,2010,218.00
8976,336521,2016,218.00
10704,386580,2014,218.00
11617,411742,2017,218.00
12324,430848,2014,218.00
12621,440243,2011,218.00
14873,501372,2013,218.00
15313,512644,2013,218.00
15583,518437,2013,218.00
16113,531755,2013,218.00
16433,545049,2013,218.00
17574,577067,2014,218.00
20106,642663,2016,218.00
20341,650036,2011,218.00
21704,691039,2014,218.00
22066,700997,2016,218.00
22258,706907,2018,218.00
22323,710040,2013,218.00
22483,715896,2013,218.00
23517,745001,2017,218.00
24417,769764,2017,218.00
25366,791438,2016,218.00
25986,807016,2016,218.00
27135,830599,2015,218.00
28460,866164,2010,218.00
30876,925408,2016,218.00
32419,961072,2019,218.00
88,101733,2018,217.00
3755,197934,2015,217.00
4312,211145,2012,217.00
5454,240118,2014,217.00
5673,247646,2013,217.00
5826,252841,2016,217.00
10619,384866,2019,217.00
10733,387268,2013,217.00
10737,387268,2017,217.00
11739,414040,2019,217.00
16111,531755,2011,217.00
16240,535119,2010,217.00
17174,566589,2014,217.00
18458,600871,2018,217.00
18548,603277,2018,217.00
18905,614219,2015,217.00
19053,617558,2013,217.00
20748,662726,2018,217.00
21180,675338,2010,217.00
21705,691039,2015,217.00
21775,693452,2015,217.00
22270,707133,2010,217.00
22736,723979,2016,217.00
22932,727829,2012,217.00
23054,731189,2014,217.00
26192,812472,2012,217.00
27530,842178,2010,217.00
27728,847384,2018,217.00
28275,860427,2015,217.00
29563,891199,2013,217.00
29872,902046,2012,217.00
30736,923677,2016,217.00
32785,975114,2015,217.00
33243,990186,2013,217.00
33415,994281,2015,217.00
33417,994281,2017,217.00
244,106635,2014,216.00
1997,153988,2017,216.00
2807,173037,2017,216.00
4047,205374,2017,216.00
4094,206840,2014,216.00
4995,230626,2015,216.00
5386,238146,2016,216.00
5388,238146,2018,216.00
5539,241993,2019,216.00
8345,317584,2015,216.00
8819,332425,2019,216.00
8930,335575,2010,216.00
9538,353423,2018,216.00
11151,398864,2011,216.00
12511,437343,2011,216.00
13902,475258,2012,216.00
14577,492974,2017,216.00
15263,511563,2013,216.00
15266,511563,2016,216.00
16207,534663,2017,216.00
18798,612306,2018,216.00
20390,652094,2010,216.00
21277,677424,2017,216.00
22277,707133,2017,216.00
22278,707133,2018,216.00
22734,723979,2014,216.00
22785,724475,2015,216.00
23781,751753,2011,216.00
25005,781549,2015,216.00
26373,816395,2013,216.00
26680,822711,2010,216.00
26681,822711,2011,216.00
26859,825697,2019,216.00
27134,830599,2014,216.00
27302,836580,2012,216.00
27711,847101,2011,216.00
28953,877959,2013,216.00
29755,898445,2015,216.00
29768,898605,2018,216.00
29970,903813,2010,216.00
30301,914714,2011,216.00
32483,962973,2013,216.00
32490,962976,2010,216.00
32557,964517,2017,216.00
32995,983800,2015,216.00
33100,986831,2010,216.00
33242,990186,2012,216.00
846,126018,2016,215.00
2015,154590,2015,215.00
2663,169516,2013,215.00
2832,173626,2012,215.00
3011,178285,2011,215.00
3354,186940,2014,215.00
3754,197934,2014,215.00
3892,200741,2012,215.00
4130,207845,2010,215.00
4347,211331,2017,215.00
4460,213713,2010,215.00
5117,233918,2017,215.00
6949,281567,2019,215.00
7502,295404,2012,215.00
8336,316981,2016,215.00
9524,353316,2014,215.00
11960,419590,2010,215.00
12449,434341,2019,215.00
12565,438503,2015,215.00
12715,443726,2015,215.00
13547,465379,2017,215.00
14765,499251,2015,215.00
16241,535119,2011,215.00
17203,566963,2013,215.00
17291,568461,2011,215.00
18877,614129,2017,215.00
18878,614129,2018,215.00
20082,642218,2012,215.00
20837,665376,2017,215.00
21530,686314,2010,215.00
21553,686906,2013,215.00
22760,724421,2010,215.00
24006,759218,2016,215.00
24118,761543,2018,215.00
25987,807016,2017,215.00
26595,821558,2015,215.00
27132,830599,2012,215.00
27822,849821,2012,215.00
29539,890515,2019,215.00
30418,917836,2018,215.00
30447,919344,2017,215.00
31172,932953,2012,215.00
31871,947487,2011,215.00
32501,963826,2011,215.00
33560,997302,2010,215.00
286,107859,2016,214.00
810,125557,2010,214.00
1288,137687,2018,214.00
2239,159364,2019,214.00
7325,291054,2015,214.00
7503,295404,2013,214.00
9264,345578,2014,214.00
9724,358589,2014,214.00
10170,370440,2010,214.00
10224,372042,2014,214.00
13544,465379,2014,214.00
15262,511563,2012,214.00
15618,519607,2018,214.00
16277,536871,2017,214.00
16554,547818,2014,214.00
16965,560883,2015,214.00
17821,583717,2011,214.00
18198,592569,2018,214.00
21752,692907,2012,214.00
21926,698380,2016,214.00
22320,710040,2010,214.00
23779,751147,2019,214.00
24721,776045,2011,214.00
26084,810388,2014,214.00
26626,821980,2016,214.00
30738,923677,2018,214.00
31086,930855,2016,214.00
31178,932953,2018,214.00
32467,962711,2017,214.00
892,127666,2012,213.00
1038,130134,2018,213.00
2063,155494,2013,213.00
2806,173037,2016,213.00
3145,181512,2015,213.00
3358,186940,2018,213.00
3541,193713,2011,213.00
6350,266023,2010,213.00
7506,295404,2016,213.00
7955,305588,2015,213.00
8357,317737,2017,213.00
9677,357631,2017,213.00
10223,372042,2013,213.00
11519,409039,2019,213.00
11681,413525,2011,213.00
11996,420728,2016,213.00
12622,440243,2012,213.00
14665,496480,2015,213.00
15461,515630,2011,213.00
15826,525521,2016,213.00
17168,566065,2018,213.00
17348,569645,2018,213.00
19292,624089,2012,213.00
20749,662726,2019,213.00
21881,696755,2011,213.00
25675,799514,2015,213.00
25702,800567,2012,213.00
29759,898445,2019,213.00
30189,910625,2019,213.00
30303,914714,2013,213.00
30732,923677,2012,213.00
30895,925958,2015,213.00
31083,930855,2013,213.00
31173,932953,2013,213.00
31763,945942,2013,213.00
32465,962711,2015,213.00
32675,969355,2015,213.00
33133,987570,2013,213.00
84,101733,2014,212.00
85,101733,2015,212.00
528,116687,2018,212.00
1033,130134,2013,212.00
2424,162918,2014,212.00
2632,167760,2012,212.00
2636,167760,2016,212.00
3147,181512,2017,212.00
4095,206840,2015,212.00
4287,210424,2017,212.00
7829,302232,2019,212.00
7965,306287,2015,212.00
9850,362185,2010,212.00
10119,368502,2019,212.00
11680,413525,2010,212.00
12323,430848,2013,212.00
13498,463913,2018,212.00
15236,510723,2016,212.00
15482,515996,2012,212.00
16446,545262,2016,212.00
18084,589629,2014,212.00
19797,634443,2017,212.00
20624,658888,2014,212.00
20832,665376,2012,212.00
21031,671182,2011,212.00
21035,671182,2015,212.00
21151,674541,2011,212.00
21276,677424,2016,212.00
21483,684545,2013,212.00
22252,706907,2012,212.00
22481,715896,2011,212.00
23320,738680,2010,212.00
23918,756426,2018,212.00
24427,769859,2017,212.00
24781,777358,2011,212.00
24786,777358,2016,212.00
25224,786903,2014,212.00
27689,845830,2019,212.00
28276,860427,2016,212.00
28455,865958,2015,212.00
29761,898605,2011,212.00
30151,910113,2011,212.00
30153,910113,2013,212.00
30210,912746,2010,212.00
30514,920119,2014,212.00
30543,921178,2013,212.00
30735,923677,2015,212.00
31012,928619,2012,212.00
31770,946377,2010,212.00
32460,962711,2010,212.00
33412,994281,2012,212.00
743,124262,2013,211.00
1030,130134,2010,211.00
1855,150666,2015,211.00
2581,166635,2011,211.00
3854,199674,2014,211.00
4043,205374,2013,211.00
4090,206840,2010,211.00
4091,206840,2011,211.00
4131,207845,2011,211.00
4441,212996,2011,211.00
4623,220141,2013,211.00
4855,224974,2015,211.00
5220,235833,2010,211.00
5301,237064,2011,211.00
5671,247646,2011,211.00
7935,305431,2015,211.00
8047,307873,2017,211.00
8348,317584,2018,211.00
9052,338571,2012,211.00
9053,338571,2013,211.00
11534,409625,2014,211.00
11735,414040,2015,211.00
11965,419590,2015,211.00
12448,434341,2018,211.00
12969,450073,2019,211.00
13747,469741,2017,211.00
13990,478150,2010,211.00
14018,478433,2018,211.00
14902,502079,2012,211.00
14904,502079,2014,211.00
14943,503351,2013,211.00
15184,510051,2014,211.00
15800,525157,2010,211.00
17169,566065,2019,211.00
17343,569645,2013,211.00
17519,575409,2019,211.00
18202,593243,2012,211.00
18936,614361,2016,211.00
19055,617558,2015,211.00
19970,639365,2010,211.00
20978,669108,2018,211.00
21033,671182,2013,211.00
21536,686314,2016,211.00
21839,695328,2019,211.00
21940,698424,2010,211.00
23055,731189,2015,211.00
23113,732658,2013,211.00
23644,746939,2014,211.00
23932,757620,2012,211.00
24501,771087,2011,211.00
24898,779759,2018,211.00
26056,808892,2016,211.00
29359,886073,2019,211.00
29521,890303,2011,211.00
29796,900130,2016,211.00
29804,900207,2014,211.00
31129,932239,2019,211.00
31976,950565,2016,211.00
32464,962711,2014,211.00
1062,130707,2012,210.00
1739,148155,2019,210.00
2804,173037,2014,210.00
2833,173626,2013,210.00
3757,197934,2017,210.00
4163,208209,2013,210.00
6955,281598,2015,210.00
7106,285859,2016,210.00
7453,294946,2013,210.00
8970,336521,2010,210.00
12321,430848,2011,210.00
13929,475871,2019,210.00
14944,503351,2014,210.00
15301,512056,2011,210.00
15478,515841,2018,210.00
15748,523389,2018,210.00
15749,523389,2019,210.00
17147,565610,2017,210.00
17204,566963,2014,210.00
18129,590272,2019,210.00
19555,629041,2015,210.00
19726,632872,2016,210.00
21275,677424,2015,210.00
21338,678677,2018,210.00
21428,683075,2018,210.00
22228,706328,2018,210.00
22565,717917,2015,210.00
22611,721291,2011,210.00
22936,727829,2016,210.00
22967,728334,2017,210.00
23191,734878,2011,210.00
23782,751753,2012,210.00
24785,777358,2015,210.00
26428,817338,2018,210.00
27531,842178,2011,210.00
28489,866857,2019,210.00
28749,874102,2019,210.00
28808,874562,2018,210.00
28920,877638,2010,210.00
29273,885247,2013,210.00
29787,899459,2017,210.00
30296,914202,2016,210.00
32075,954480,2015,210.00
32883,979367,2013,210.00
2659,169315,2019,209.00
3608,194220,2018,209.00
5718,248613,2018,209.00
6600,271045,2010,209.00
6961,281829,2011,209.00
9700,358143,2010,209.00
9970,364827,2010,209.00
12568,438503,2018,209.00
14165,481901,2015,209.00
14315,485769,2015,209.00
14876,501372,2016,209.00
15479,515841,2019,209.00
15515,517313,2015,209.00
15669,521006,2019,209.00
16118,531755,2018,209.00
16927,558932,2017,209.00
18331,597738,2011,209.00
19095,618429,2015,209.00
21187,675338,2017,209.00
22485,715896,2015,209.00
22489,715896,2019,209.00
22879,725124,2019,209.00
24038,759745,2018,209.00
24783,777358,2013,209.00
25594,797943,2014,209.00
25632,798451,2012,209.00
25650,798905,2010,209.00
25700,800567,2010,209.00
27301,836580,2011,209.00
28745,874102,2015,209.00
28841,876230,2011,209.00
29406,887370,2016,209.00
30309,914714,2019,209.00
31762,945942,2012,209.00
32884,979367,2014,209.00
33130,987570,2010,209.00
33134,987570,2014,209.00
659,121537,2019,208.00
897,127666,2017,208.00
4598,219552,2018,208.00
5101,233604,2011,208.00
8395,319275,2015,208.00
9123,340813,2013,208.00
9526,353316,2016,208.00
10734,387268,2014,208.00
12510,437343,2010,208.00
13489,463886,2019,208.00
14940,503351,2010,208.00
15267,511563,2017,208.00
15820,525521,2010,208.00
20444,655378,2014,208.00
21186,675338,2016,208.00
21504,684817,2014,208.00
21701,691039,2011,208.00
21785,693750,2015,208.00
22569,717917,2019,208.00
23075,731374,2015,208.00
23535,745102,2015,208.00
24287,766385,2017,208.00
26029,808610,2019,208.00
27614,844770,2014,208.00
28140,857826,2010,208.00
28277,860427,2017,208.00
28711,873485,2011,208.00
29276,885247,2016,208.00
29398,887290,2018,208.00
30940,927154,2010,208.00
32076,954480,2016,208.00
32727,971648,2017,208.00
5,100311,2015,207.00
9,100311,2019,207.00
809,125434,2019,207.00
4044,205374,2014,207.00
4142,207928,2012,207.00
5723,248619,2013,207.00
6104,258196,2014,207.00
6316,263139,2016,207.00
6956,281598,2016,207.00
7666,298539,2016,207.00
8208,311256,2018,207.00
8387,318964,2017,207.00
10132,369093,2012,207.00
10189,370595,2019,207.00
10380,377403,2010,207.00
10703,386580,2013,207.00
10705,386580,2015,207.00
12322,430848,2012,207.00
13967,477116,2017,207.00
14576,492974,2016,207.00
14867,501257,2017,207.00
15305,512056,2015,207.00
16766,554500,2016,207.00
16964,560883,2014,207.00
17823,583717,2013,207.00
18794,612306,2014,207.00
19092,618429,2012,207.00
19864,635843,2014,207.00
21034,671182,2014,207.00
21700,691039,2010,207.00
21927,698380,2017,207.00
21944,698424,2014,207.00
23510,745001,2010,207.00
23777,751147,2017,207.00
24536,771476,2016,207.00
25043,783168,2013,207.00
26082,810388,2012,207.00
27257,836057,2017,207.00
27303,836580,2013,207.00
28272,860427,2012,207.00
28488,866857,2018,207.00
28796,874516,2016,207.00
29075,880587,2015,207.00
30683,922212,2013,207.00
30688,922212,2018,207.00
31254,934721,2014,207.00
31334,936248,2014,207.00
32466,962711,2016,207.00
33296,990645,2016,207.00
1285,137687,2015,206.00
2190,158378,2010,206.00
2512,163842,2012,206.00
3010,178285,2010,206.00
3314,185916,2014,206.00
4247,209870,2017,206.00
4732,222013,2012,206.00
5369,237792,2019,206.00
7832,302318,2012,206.00
7934,305431,2014,206.00
10147,369556,2017,206.00
10319,374373,2019,206.00
11944,419258,2014,206.00
12105,424192,2015,206.00
13903,475258,2013,206.00
13925,475871,2015,206.00
15183,510051,2013,206.00
15588,518437,2018,206.00
16165,533529,2015,206.00
17555,576431,2015,206.00
17624,577453,2014,206.00
19799,634443,2019,206.00
21030,671182,2010,206.00
21102,673546,2012,206.00
21435,683287,2015,206.00
21537,686314,2017,206.00
22222,706328,2012,206.00
23178,734236,2018,206.00
23321,738680,2011,206.00
23586,746032,2016,206.00
23780,751753,2010,206.00
25006,781549,2016,206.00
26625,821980,2015,206.00
26795,824019,2015,206.00
28780,874311,2010,206.00
30297,914202,2017,206.00
30510,920119,2010,206.00
30673,921962,2013,206.00
30879,925408,2019,206.00
31126,932239,2016,206.00
31171,932953,2011,206.00
31181,933022,2011,206.00
32620,967699,2010,206.00
32996,983800,2016,206.00
33112,987228,2012,206.00
33131,987570,2011,206.00
33241,990186,2011,206.00
33376,993644,2016,206.00
33665,999747,2015,206.00
2526,163901,2016,205.00
2648,169028,2018,205.00
2831,173626,2011,205.00
5896,253931,2016,205.00
6100,258196,2010,205.00
6590,270942,2010,205.00
7311,290756,2011,205.00
7599,296918,2019,205.00
7964,306287,2014,205.00
10110,368502,2010,205.00
10485,379747,2015,205.00
10809,389292,2019,205.00
14831,500272,2011,205.00
15268,511563,2018,205.00
17206,566963,2016,205.00
17623,577453,2013,205.00
18561,603775,2011,205.00
19091,618429,2011,205.00
19483,627684,2013,205.00
19727,632872,2017,205.00
20625,658888,2015,205.00
21032,671182,2012,205.00
21925,698380,2015,205.00
22259,706907,2019,205.00
22735,723979,2015,205.00
22764,724421,2014,205.00
22769,724421,2019,205.00
22937,727829,2017,205.00
23265,736413,2015,205.00
23920,757198,2010,205.00
23931,757620,2011,205.00
24534,771476,2014,205.00
24560,773005,2010,205.00
25332,790659,2012,205.00
26027,808610,2017,205.00
27725,847384,2015,205.00
29766,898605,2016,205.00
31279,934943,2019,205.00
32786,975114,2016,205.00
33245,990186,2015,205.00
33265,990390,2015,205.00
33359,992952,2019,205.00
33468,994927,2018,205.00
489,115571,2019,204.00
895,127666,2015,204.00
1034,130134,2014,204.00
2128,156684,2018,204.00
2585,166635,2015,204.00
3825,198880,2015,204.00
5364,237792,2014,204.00
5367,237792,2017,204.00
6318,263139,2018,204.00
6435,267334,2015,204.00
6547,270644,2017,204.00
8154,310400,2014,204.00
9322,346978,2012,204.00
10112,368502,2012,204.00
10118,368502,2018,204.00
11963,419590,2013,204.00
13749,469741,2019,204.00
13774,470110,2014,204.00
13885,475127,2015,204.00
14225,482730,2015,204.00
14760,499251,2010,204.00
14907,502079,2017,204.00
15075,508128,2015,204.00
15205,510318,2015,204.00
15658,520729,2018,204.00
16540,547703,2010,204.00
17032,563662,2012,204.00
17179,566589,2019,204.00
18083,589629,2013,204.00
18205,593243,2015,204.00
18501,602573,2011,204.00
20107,642663,2017,204.00
21029,671120,2019,204.00
21556,686906,2016,204.00
22254,706907,2014,204.00
22768,724421,2018,204.00
22847,724907,2017,204.00
23133,732991,2013,204.00
24784,777358,2014,204.00
24915,780008,2015,204.00
25305,789052,2015,204.00
25531,795643,2011,204.00
26324,815498,2014,204.00
27136,830599,2016,204.00
28926,877638,2016,204.00
29400,887370,2010,204.00
30878,925408,2018,204.00
31429,938043,2019,204.00
31696,944522,2016,204.00
32788,975114,2018,204.00
33116,987228,2016,204.00
33355,992952,2015,204.00
1842,150562,2012,203.00
3094,179880,2014,203.00
4041,205374,2011,203.00
4316,211145,2016,203.00
5387,238146,2017,203.00
5389,238146,2019,203.00
5711,248613,2011,203.00
6430,267334,2010,203.00
6545,270644,2015,203.00
6958,281598,2018,203.00
7756,300212,2016,203.00
8205,311256,2015,203.00
9756,360060,2016,203.00
10142,369556,2012,203.00
10736,387268,2016,203.00
11333,404604,2013,203.00
12236,429148,2016,203.00
12728,444397,2018,203.00
14114,480959,2014,203.00
14296,485140,2016,203.00
14413,488318,2013,203.00
14417,488318,2017,203.00
14871,501372,2011,203.00
14941,503351,2011,203.00
15310,512644,2010,203.00
16056,530255,2016,203.00
16114,531755,2014,203.00
