,surgid,surgyear,total cardiac surgery
31047,930104,2017,373.00
33108,986831,2018,373.00
4248,209870,2018,372.00
6582,270937,2012,372.00
11403,407512,2013,372.00
11516,409039,2016,372.00
26417,817051,2017,372.00
11116,397601,2016,371.00
20835,665376,2015,371.00
32495,962976,2015,371.00
31273,934943,2013,370.00
11266,402607,2016,369.00
17644,577639,2014,369.00
27049,829061,2019,369.00
28855,876420,2015,369.00
29251,884781,2011,369.00
31958,949931,2018,369.00
6584,270937,2014,368.00
11515,409039,2015,368.00
23370,740244,2010,368.00
25218,786846,2018,368.00
23630,746898,2010,367.00
27820,849821,2010,367.00
29254,884781,2014,367.00
31018,928619,2018,367.00
2769,171645,2019,366.00
8520,324249,2010,366.00
9912,363514,2012,366.00
10316,374373,2016,366.00
21876,696392,2016,366.00
23441,743452,2011,366.00
26414,817051,2014,366.00
11400,407512,2010,365.00
18777,611059,2017,365.00
2763,171645,2013,364.00
5690,247717,2010,364.00
6583,270937,2013,364.00
9911,363514,2011,364.00
9914,363514,2014,364.00
22168,705469,2018,364.00
27821,849821,2011,364.00
28530,868128,2010,364.00
64,101555,2014,363.00
2530,164406,2010,363.00
6173,259953,2013,363.00
18771,611059,2011,363.00
32493,962976,2013,363.00
11405,407512,2015,362.00
24257,764843,2017,362.00
10314,374373,2014,361.00
32031,953002,2011,361.00
33105,986831,2015,361.00
226,106307,2016,360.00
10313,374373,2013,360.00
17643,577639,2013,360.00
32492,962976,2012,360.00
32508,963826,2018,360.00
816,125557,2016,359.00
4990,230626,2010,359.00
11513,409039,2013,359.00
21694,691029,2014,359.00
21877,696392,2017,359.00
29931,902958,2011,359.00
32509,963826,2019,359.00
1371,140478,2011,358.00
5306,237064,2016,358.00
6174,259953,2014,358.00
9670,357631,2010,358.00
11153,398864,2013,358.00
11263,402607,2013,358.00
26416,817051,2016,358.00
31959,949931,2019,358.00
767,124716,2017,357.00
2760,171645,2010,357.00
10312,374373,2012,357.00
15319,512644,2019,357.00
10183,370595,2013,356.00
11261,402607,2011,356.00
15467,515630,2017,356.00
20944,668023,2014,356.00
23584,746032,2014,356.00
2767,171645,2017,355.00
3082,179700,2012,355.00
21427,683075,2017,355.00
32146,955960,2016,355.00
33590,997636,2010,355.00
9674,357631,2014,354.00
9915,363514,2015,354.00
21875,696392,2015,354.00
22353,711461,2013,354.00
33583,997435,2013,354.00
9672,357631,2012,353.00
20842,665800,2012,353.00
23442,743452,2012,353.00
11262,402607,2012,352.00
11409,407512,2019,352.00
20946,668023,2016,352.00
21288,677591,2018,352.00
28536,868128,2016,352.00
28537,868128,2017,352.00
33580,997435,2010,352.00
10179,370440,2019,351.00
18770,611059,2010,351.00
23440,743452,2010,351.00
25003,781549,2013,351.00
32034,953002,2014,351.00
67,101555,2017,350.00
23585,746032,2015,350.00
25212,786846,2012,350.00
26419,817051,2019,350.00
28176,858547,2016,350.00
28532,868128,2012,350.00
31015,928619,2015,350.00
7461,295121,2011,349.00
7462,295121,2012,349.00
11115,397601,2015,349.00
11407,407512,2017,349.00
15136,509439,2016,349.00
19303,624090,2013,349.00
32033,953002,2013,349.00
32144,955960,2014,349.00
18772,611059,2012,348.00
29258,884781,2018,348.00
30360,916708,2010,348.00
31956,949931,2016,348.00
738,123508,2018,347.00
3088,179700,2018,347.00
6587,270937,2017,347.00
7980,306674,2010,347.00
8525,324249,2015,347.00
18778,611059,2018,347.00
21690,691029,2010,347.00
32253,957518,2013,347.00
768,124716,2018,346.00
13117,453965,2017,346.00
19493,628003,2013,346.00
19494,628003,2014,346.00
27635,845082,2015,346.00
29466,889003,2016,346.00
29932,902958,2012,346.00
30362,916708,2012,346.00
31272,934943,2012,346.00
3069,179236,2019,345.00
5918,254008,2018,345.00
10174,370440,2014,345.00
11406,407512,2016,345.00
18774,611059,2014,345.00
28496,867219,2016,345.00
31955,949931,2015,345.00
739,123508,2019,344.00
17645,577639,2015,344.00
28440,865389,2010,344.00
66,101555,2016,343.00
3084,179700,2014,343.00
11408,407512,2018,343.00
12128,424918,2018,343.00
15914,526994,2014,343.00
21289,677591,2019,343.00
21691,691029,2011,343.00
21878,696392,2018,343.00
22167,705469,2017,343.00
25211,786846,2011,343.00
28020,854373,2010,343.00
32491,962976,2011,343.00
1734,148155,2014,342.00
9910,363514,2010,342.00
12093,423846,2013,342.00
12753,445095,2013,342.00
14279,484346,2019,341.00
20840,665800,2010,341.00
27717,847101,2017,341.00
33591,997636,2011,341.00
6589,270937,2019,340.00
15132,509439,2012,340.00
18130,590647,2010,340.00
24935,780313,2015,340.00
25217,786846,2017,340.00
6177,259953,2017,339.00
7464,295121,2014,339.00
19497,628003,2017,339.00
19499,628003,2019,339.00
20945,668023,2015,339.00
31957,949931,2017,339.00
32147,955960,2017,339.00
6464,268179,2014,338.00
19302,624090,2012,338.00
2766,171645,2016,337.00
2768,171645,2018,337.00
4005,204500,2015,337.00
22249,706380,2019,337.00
32251,957518,2011,337.00
23631,746898,2011,336.00
25215,786846,2015,336.00
1008,129527,2018,335.00
1999,153988,2019,335.00
3083,179700,2013,335.00
5309,237064,2019,335.00
10182,370595,2012,335.00
10315,374373,2015,335.00
14274,484346,2014,335.00
17640,577639,2010,335.00
20941,668023,2011,335.00
22359,711461,2019,335.00
29579,891321,2019,335.00
30368,916708,2018,335.00
31276,934943,2016,335.00
737,123508,2017,334.00
2765,171645,2015,334.00
4138,207845,2018,334.00
11267,402607,2017,334.00
15135,509439,2015,334.00
17157,565882,2017,334.00
21692,691029,2012,334.00
24896,779759,2016,334.00
26199,812472,2019,334.00
68,101555,2018,333.00
31049,930104,2019,333.00
6940,281567,2010,332.00
7467,295121,2017,332.00
8274,314417,2014,332.00
32145,955960,2015,332.00
3081,179700,2011,331.00
9896,363261,2016,331.00
10534,382436,2014,331.00
12127,424918,2017,331.00
815,125557,2015,330.00
929,127907,2019,330.00
2764,171645,2014,330.00
4698,220614,2018,330.00
4734,222013,2014,330.00
15134,509439,2014,330.00
18134,590647,2014,330.00
28539,868128,2019,330.00
2162,157153,2012,329.00
2199,158378,2019,329.00
4991,230626,2011,329.00
10178,370440,2018,329.00
10181,370595,2011,329.00
24934,780313,2014,329.00
27569,843474,2019,329.00
28538,868128,2018,329.00
8895,333926,2015,328.00
15547,517623,2017,328.00
6175,259953,2015,327.00
12126,424918,2016,327.00
13118,453965,2018,327.00
17159,565882,2019,327.00
18133,590647,2013,327.00
18876,614129,2016,327.00
27042,829061,2012,327.00
6588,270937,2018,326.00
11112,397601,2012,326.00
15545,517623,2015,326.00
20943,668023,2013,326.00
30365,916708,2015,326.00
32494,962976,2014,326.00
33584,997435,2014,326.00
11894,418237,2014,325.00
14273,484346,2013,325.00
15468,515630,2018,325.00
20940,668023,2010,325.00
22164,705469,2014,325.00
27041,829061,2011,325.00
33594,997636,2014,325.00
