,surgid,total,count_First,count_Reop,Mortality_First,Mortality_Reop,PredMort_First_avg,PredMort_Reoperation_avg,total_year_avg,Year_avg_Firstop,Year_avg_reop,Mortality_First_rate,Mortality_Reop_rate,observe/expected_First,observe/expected_Reop,log_First,log_Reoperation
0,100311.0,929,886.0,43.0,13.0,2.0,1.6432618510158012,3.201395348837209,24.5,23.8,0.7,1.4672686230248306,4.651162790697675,0.8929000707451594,1.4528548597995061,-0.1634293702770059,0.5388905849347455
1,100562.0,245,238.0,7.0,5.0,0.0,2.447899159663867,2.25,37.4,35.4,2.0,2.100840336134454,0.0,0.8582217645039473,0.0,-0.22057760659089998,0.0
2,101052.0,374,354.0,20.0,6.0,0.0,1.6379378531073454,3.1759999999999997,76.8,72.9,3.9,1.694915254237288,0.0,1.0347860579825117,0.0,0.04933252135505228,0.0
3,101078.0,768,729.0,39.0,5.0,0.0,1.4641838134430738,3.0558974358974362,62.1,58.0,4.1,0.6858710562414266,0.0,0.46843234431651004,0.0,-1.0940874004017782,0.0
4,101145.0,68,61.0,7.0,1.0,0.0,1.3950819672131152,1.4628571428571429,210.3,197.6,12.7,1.639344262295082,0.0,1.1750881316098705,0.0,0.23276896297612407,0.0
5,101338.0,621,580.0,41.0,5.0,0.0,1.5217413793103454,2.385853658536585,145.2,127.9,17.3,0.8620689655172413,0.0,0.566501625859666,0.0,-0.8198479983008629,0.0
6,101555.0,2103,1976.0,127.0,21.0,1.0,1.7680566801619424,3.528740157480317,103.1,93.7,9.4,1.0627530364372468,0.7874015748031495,0.6010853884728998,0.22313957380341387,-0.7343581442570393,-2.1639816966485657
7,101732.0,1452,1279.0,173.0,17.0,6.0,1.7866770914777172,4.163526011560694,85.8,81.8,4.0,1.3291634089132134,3.4682080924855487,0.7439304031227572,0.83299782032237,-0.4267604356054018,-0.2636153743436243
8,101733.0,1031,937.0,94.0,10.0,0.0,1.3788687299893272,2.207978723404256,53.33333333333334,50.5,2.833333333333333,1.0672358591248665,0.0,0.7739938080495358,0.0,-0.3696060700318376,0.0
9,101931.0,23,22.0,1.0,0.0,0.0,1.6100000000000003,2.52,15.8,15.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0
10,102244.0,429,409.0,20.0,6.0,1.0,1.496063569682151,4.9704999999999995,14.25,13.75,0.5,1.466992665036675,5.0,0.9805684028175004,1.005935016597928,-0.028309820957974068,0.008537110053967848
11,102320.0,320,303.0,17.0,6.0,0.0,1.5925082508250827,2.5252941176470585,92.9,87.5,5.4,1.9801980198019802,0.0,1.243446003357304,0.0,0.3143438598828965,0.0
12,102688.0,158,153.0,5.0,5.0,0.0,1.3843137254901956,2.6959999999999997,38.5,37.4,1.1,3.2679738562091507,0.0,2.360717658168084,0.0,1.2392255055571135,0.0
13,102725.0,57,55.0,2.0,0.0,1.0,1.5169090909090917,1.56,5.5,5.0,0.5,0.0,50.0,0.0,32.05128205128205,0.0,5.002310160687201
14,103762.0,929,875.0,54.0,18.0,0.0,2.001737142857144,3.6222222222222227,2.0,2.0,0.0,2.057142857142857,0.0,1.0276788161140031,0.0,0.03938944468612314,0.0
15,103945.0,385,374.0,11.0,4.0,1.0,1.670080213903743,2.514545454545454,61.9,59.2,2.7,1.06951871657754,9.090909090909092,0.6403996093562383,3.6153289949385403,-0.642955667076899,1.8541269383989556
16,103980.0,33,30.0,3.0,0.0,0.0,1.259,2.433333333333333,42.857142857142854,42.285714285714285,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0
17,104459.0,71,66.0,5.0,2.0,0.0,2.6625757575757576,1.348,37.5,37.0,0.5,3.0303030303030303,0.0,1.1381095999544757,0.0,0.1866394958669154,0.0
18,104900.0,6,6.0,0.0,0.0,0.0,1.9716666666666667,0.0,75.0,72.7,2.3,0.0,0.0,0.0,0.0,0.0,0.0
19,105392.0,619,592.0,27.0,14.0,4.0,1.6575675675675667,4.4251851851851844,32.0,30.75,1.25,2.364864864864865,14.814814814814813,1.426707973259417,3.3478406427854037,0.5126900659663629,1.743230857238659
20,105735.0,300,296.0,4.0,4.0,0.0,1.3343581081081084,1.0325,85.5,78.2,7.3,1.3513513513513513,0.0,1.0127351444413497,0.0,0.01825692264668062,0.0
21,106205.0,75,74.0,1.0,4.0,0.0,1.7389189189189183,2.13,77.8,74.2,3.6,5.405405405405405,0.0,3.1084861672365567,0.0,1.6362121588967113,0.0
22,106307.0,750,727.0,23.0,7.0,0.0,1.2268775790921598,1.9660869565217391,3.5,3.5,0.0,0.9628610729023385,0.0,0.7848061528802385,0.0,-0.349591742556752,0.0
23,106606.0,128,123.0,5.0,2.0,0.0,1.9695934959349595,4.524,98.9,90.4,8.5,1.6260162601626018,0.0,0.8255593164368861,0.0,-0.276556218386062,0.0
24,106635.0,261,234.0,27.0,5.0,1.0,2.1226495726495718,2.5651851851851855,81.75,77.0,4.75,2.1367521367521367,3.7037037037037033,1.0066438494060805,1.4438348252959858,0.009553348112211858,0.5299057073522206
25,107023.0,855,782.0,73.0,13.0,1.0,1.927659846547314,3.5158904109589035,50.0,47.5,2.5,1.6624040920716114,1.36986301369863,0.8623949370783389,0.38962050962362665,-0.21357938650173705,-1.3598584720012523
26,107065.0,778,742.0,36.0,7.0,0.0,1.6927088948787061,2.559444444444445,49.0,47.0,2.0,0.9433962264150944,0.0,0.557329278099348,0.0,-0.8433981505880869,0.0
27,107236.0,7,7.0,0.0,0.0,0.0,0.9685714285714285,0.0,13.625,13.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0
28,107859.0,989,904.0,85.0,12.0,2.0,1.6077212389380537,4.065529411764705,28.0,25.9,2.1,1.3274336283185841,2.3529411764705883,0.8256615613260122,0.5787539427612353,-0.2763775527736372,-0.7889779781210438
29,108029.0,327,308.0,19.0,6.0,0.0,1.1718831168831174,3.62578947368421,43.2,41.1,2.1,1.948051948051948,0.0,1.6623261483903133,0.0,0.7332034666467806,0.0
30,108151.0,300,285.0,15.0,5.0,0.0,1.4849122807017547,3.0366666666666675,84.5,78.5,6.0,1.7543859649122806,0.0,1.1814744801512285,0.0,0.24058846743542334,0.0
31,108272.0,245,235.0,10.0,3.0,0.0,1.5667659574468087,3.7979999999999996,39.125,38.5,0.625,1.276595744680851,0.0,0.8147967082212986,0.0,-0.2954879430597535,0.0
32,108391.0,109,108.0,1.0,0.0,0.0,1.2175,0.63,35.4,34.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33,108460.0,280,259.0,21.0,5.0,1.0,1.3495752895752904,2.6,115.2,110.7,4.5,1.9305019305019304,4.761904761904762,1.43045145047777,1.8315018315018314,0.5164705334223256,0.8730271437422346
34,109132.0,64,63.0,1.0,0.0,0.0,2.2171428571428566,4.13,13.111111111111109,12.444444444444445,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
35,109186.0,432,411.0,21.0,6.0,0.0,1.2743065693430657,2.156666666666667,51.7,48.5,3.2,1.4598540145985401,0.0,1.1456065986940085,0.0,0.19611170766217523,0.0
36,109864.0,623,565.0,58.0,5.0,0.0,1.690796460176991,3.482586206896552,82.1,77.8,4.3,0.8849557522123894,0.0,0.5233957918978333,0.0,-0.9340257697229142,0.0
37,109883.0,845,785.0,60.0,7.0,0.0,1.243554140127389,2.971833333333332,43.375,42.875,0.5,0.89171974522293,0.0,0.7170735205236682,0.0,-0.4798070509152321,0.0
38,110421.0,313,308.0,5.0,7.0,0.0,2.000422077922075,3.086,91.8,85.3,6.5,2.272727272727273,0.0,1.1361238699625098,0.0,0.1841201383973594,0.0
39,110779.0,177,172.0,5.0,2.0,0.0,1.6326744186046511,3.7920000000000003,142.2,131.6,10.6,1.1627906976744187,0.0,0.7121999857560003,0.0,-0.48964568804028696,0.0
40,110854.0,348,331.0,17.0,6.0,1.0,1.6751661631419936,3.1217647058823528,60.2,57.4,2.8,1.812688821752266,5.88235294117647,1.0820949357957008,1.884303749764462,0.11382707716228535,0.9140315461378348
41,111293.0,1152,1107.0,45.0,16.0,2.0,1.393965672990063,3.231777777777776,37.77777777777778,34.22222222222222,3.555555555555556,1.4453477868112015,4.444444444444445,1.0368603867489246,1.3752320704118828,0.05222164834118905,0.4596750939692571
42,111471.0,320,309.0,11.0,6.0,0.0,1.7635598705501612,1.5809090909090906,47.4,43.4,4.0,1.9417475728155338,0.0,1.101038646456491,0.0,0.1388651083869457,0.0
43,112554.0,118,112.0,6.0,0.0,0.0,1.1997321428571424,2.903333333333333,50.8,49.5,1.3,0.0,0.0,0.0,0.0,0.0,0.0
44,112965.0,234,217.0,17.0,4.0,0.0,1.6265898617511514,3.125882352941177,6.25,6.25,0.0,1.8433179723502304,0.0,1.1332407853358648,0.0,0.18045443035754097,0.0
45,113921.0,517,485.0,32.0,2.0,0.0,1.623938144329896,3.384375,60.0,57.2,2.8,0.4123711340206186,0.0,0.25393278399207747,0.0,-1.9774814287341604,0.0
46,113979.0,254,237.0,17.0,1.0,0.0,1.6216455696202543,2.392352941176471,73.5,70.2,3.3,0.42194092827004215,0.0,0.26019306325293345,0.0,-1.9423455945687527,0.0
47,115097.0,82,77.0,5.0,0.0,0.0,1.4368831168831169,2.698,39.6,38.4,1.2,0.0,0.0,0.0,0.0,0.0,0.0
48,115571.0,821,778.0,43.0,8.0,1.0,1.947583547557839,3.096511627906977,65.0,62.4,2.6,1.0282776349614395,2.3255813953488373,0.5279761354786768,0.7510326699211415,-0.9214553736457831,-0.41305242854852736
49,115898.0,1,1.0,0.0,0.0,0.0,4.07,0.0,70.1,68.6,1.5,0.0,0.0,0.0,0.0,0.0,0.0
50,115968.0,77,73.0,4.0,0.0,0.0,1.6543835616438358,2.0300000000000002,59.6,57.2,2.4,0.0,0.0,0.0,0.0,0.0,0.0
51,116143.0,347,343.0,4.0,4.0,0.0,1.5909329446064149,2.7399999999999998,78.5,74.8,3.7,1.1661807580174928,0.0,0.7330169143652986,0.0,-0.44808160595611596,0.0
52,116687.0,918,853.0,65.0,10.0,1.0,1.5934583821805368,3.4087692307692308,51.2,48.0,3.2,1.1723329425556859,1.5384615384615385,0.7357160724533199,0.4513246378119782,-0.442778986069535,-1.1477625574649368
53,117647.0,1422,1316.0,106.0,10.0,2.0,1.7566185410334318,3.4576415094339623,46.4,42.3,4.1,0.7598784194528876,1.8867924528301887,0.4325802111856598,0.5456877029276145,-1.2089604256052935,-0.8738525619432397
54,118532.0,602,574.0,28.0,2.0,2.0,1.5317247386759574,4.079642857142857,36.8,35.6,1.2,0.34843205574912894,7.142857142857142,0.22747693952525577,1.7508535411012869,-2.136207795373089,0.8080584073785202
55,118684.0,340,308.0,32.0,1.0,1.0,1.5292207792207793,2.3825,10.333333333333334,10.333333333333334,0.0,0.3246753246753247,3.125,0.21231422505307854,1.311647429171039,-2.2357270598380588,0.39137997563950766
56,118726.0,474,434.0,40.0,3.0,1.0,1.7341935483870978,3.3652499999999996,13.0,12.428571428571427,0.5714285714285714,0.6912442396313364,2.5,0.39859693877550995,0.7428868583314762,-1.3269974645657598,-0.4287855898480518
57,118933.0,508,495.0,13.0,3.0,0.0,1.1374141414141405,2.2153846153846155,209.5,198.7,10.8,0.6060606060606061,0.0,0.5328407516606875,0.0,-0.9082236709419448,0.0
58,119220.0,25,25.0,0.0,0.0,0.0,0.8180000000000001,0.0,104.2,90.6,13.6,0.0,0.0,0.0,0.0,0.0,0.0
59,119834.0,600,572.0,28.0,10.0,0.0,1.3658216783216799,3.8853571428571425,69.4,64.5,4.9,1.7482517482517483,0.0,1.2799999999999987,0.0,0.3561438102252738,0.0
60,119970.0,735,702.0,33.0,4.0,0.0,2.3364102564102573,3.7463636363636352,30.2,27.8,2.4,0.5698005698005698,0.0,0.2438786459857574,0.0,-2.0357646536009755,0.0
61,120164.0,396,384.0,12.0,8.0,0.0,1.2867708333333328,1.7783333333333333,59.1,56.5,2.6,2.083333333333333,0.0,1.6190399093337655,0.0,0.6951385485115513,0.0
62,120690.0,650,624.0,26.0,5.0,1.0,1.4602403846153846,1.8626923076923076,73.2,69.8,3.4,0.8012820512820512,3.8461538461538463,0.5487329755594332,2.0648358455502787,-0.8658238191586911,1.046027091947825
63,120775.0,40,39.0,1.0,1.0,0.0,1.5992307692307695,0.67,66.1,63.8,2.3,2.564102564102564,0.0,1.6033349366682697,0.0,0.6810758359699229,0.0
