,SiteID,total,count_First,count_Reop,Mortality_First,Mortality_Reop,PredMort_First_avg,PredMort_Reoperation_avg,total_year_avg,Year_avg_Firstop,Year_avg_reop,Mortality_First_rate,Mortality_Reop_rate,observe/expected_First,observe/expected_Reop,log_First,log_Reoperation
0,101551,753,718,35.0,9,1.0,1.739428969359332,2.944285714285714,125.5,119.66666666666669,5.833333333333332,1.2534818941504178,2.857142857142857,0.720628387954296,0.9704027171276081,-0.47267260943657396,-0.04334450487716911
1,101998,4668,4294,374.0,47,5.0,1.6848789007918048,3.5106684491978575,466.8,429.4,37.4,1.0945505356311132,1.3368983957219251,0.6496315759647365,0.3808102118066402,-0.6223063370862421,-1.3928559284125592
2,102499,725,696,29.0,8,0.0,1.4682327586206891,2.8762068965517242,72.5,69.6,2.9,1.1494252873563218,0.0,0.7828631261681788,0.0,-0.353168002517567,0.0
3,102619,614,520,94.0,6,4.0,2.897826923076923,3.410851063829787,61.4,52.0,9.4,1.153846153846154,4.25531914893617,0.39817635230643655,1.2475828083089016,-1.328520552943209,0.3191355776240135
4,103172,1768,1649,119.0,44,5.0,2.5246694966646492,4.977478991596641,176.8,164.9,11.9,2.668283808368708,4.201680672268908,1.0568844008666434,0.8441383036196647,0.07981758730077478,-0.24444870543376296
5,104015,543,519,24.0,2,2.0,1.1449903660886327,1.6508333333333336,206.9,195.3,11.6,0.3853564547206166,8.333333333333332,0.3365586874211189,5.047955577990912,-1.5710699981677108,2.3356992146599627
6,104096,274,260,14.0,1,0.0,1.1779999999999997,1.7007142857142858,184.8,165.4,19.4,0.38461538461538464,0.0,0.3264986287057595,0.0,-1.6148511624221031,0.0
7,107460,2069,1953,116.0,24,0.0,1.612119815668205,2.711724137931036,158.3,148.6,9.7,1.228878648233487,0.0,0.7622750097666475,0.0,-0.3916165149532183,0.0
8,107526,1848,1654,194.0,23,6.0,2.2843893591293813,3.9814432989690722,189.2,177.7,11.5,1.3905683192261185,3.0927835051546393,0.6087264912475722,0.7767995857068877,-0.7161339428717608,-0.364385663567407
9,108507,1583,1486,97.0,18,1.0,1.8212382234185729,3.097010309278351,219.7,206.1,13.6,1.2113055181695829,1.0309278350515463,0.6650999866980005,0.332878399520655,-0.588356852814886,-1.5869328378531344
10,109197,1892,1777,115.0,52,4.0,2.787698368036017,4.292869565217392,96.0,90.4,5.6,2.9262802476083283,3.4782608695652173,1.049711934820963,0.8102414519526818,0.06999347339253555,-0.30357619969664085
11,109726,2197,2061,136.0,35,4.0,1.6465841824357121,3.200955882352942,189.2,179.2,10.0,1.6982047549733137,2.941176470588235,1.0313500962102293,0.9188431764408607,0.04453414485974991,-0.12210944433872607
12,110671,960,904,56.0,9,2.0,1.223882743362831,2.5692857142857135,109.7,104.5,5.2,0.995575221238938,3.571428571428571,0.8134563761422289,1.3900472616068948,-0.2978631154441352,0.47513393541406984
13,112608,1095,1017,78.0,13,2.0,2.4535988200589984,4.428846153846154,69.33333333333333,66.0,3.333333333333333,1.27826941986234,2.564102564102564,0.5209773535151941,0.578954986249819,-0.9407074338642418,-0.7884769118519149
14,113652,1892,1792,100.0,18,3.0,1.5594084821428562,2.0268,97.7,92.9,4.8,1.0044642857142858,3.0,0.6441316032435609,1.4801657785671993,-0.6345726178053372,0.5657587667480635
15,113816,1097,1045,52.0,3,1.0,1.29532057416268,2.473461538461538,67.3,62.5,4.8,0.28708133971291866,1.9230769230769231,0.22162956833947728,0.7774840615767379,-2.173777725905382,-0.36311499458931784
16,113870,208,198,10.0,8,0.0,1.7352525252525246,4.6000000000000005,90.9,86.5,4.4,4.040404040404041,0.0,2.328424238896328,0.0,1.219353941232015,0.0
17,114101,977,929,48.0,23,4.0,1.770333692142088,2.7668750000000006,174.1,161.1,13.0,2.4757804090419806,8.333333333333332,1.3984823426403348,3.0118213989910387,0.4838620383360617,1.5906362207304268
18,114460,673,625,48.0,10,1.0,2.0028479999999993,2.412499999999999,35.0,34.0,1.0,1.6,2.083333333333333,0.7988624199140427,0.8635578583765114,-0.32398103128153616,-0.2116352533271492
19,115160,909,865,44.0,10,1.0,1.7004046242774558,2.597045454545454,467.0,440.3,26.7,1.1560693641618496,2.272727272727273,0.6798789815412859,0.875120329045244,-0.5566501253892,-0.19244669373504647
20,118278,1741,1611,130.0,17,1.0,1.9926753569211688,4.196615384615387,260.9,244.4,16.5,1.0552451893234016,0.7692307692307693,0.5295620210578775,0.1832978957401568,-0.9171284357259725,-2.447737871053568
21,119112,70,68,2.0,2,0.0,1.8349999999999993,3.235,72.8,69.6,3.2,2.941176470588235,0.0,1.6028209648982215,0.0,0.6806132854558977,0.0
22,119250,4670,4403,267.0,38,5.0,1.5681103792868487,3.408501872659176,204.2,181.6,22.6,0.8630479218714513,1.8726591760299627,0.5503744718939694,0.5494082872746053,-0.8615145400473686,-0.8640494226974685
23,119793,2609,2444,165.0,15,4.0,1.9111783960720143,3.8083030303030316,292.3,275.5,16.8,0.613747954173486,2.4242424242424243,0.3211358790131278,0.6365676273533107,-1.6387442352344117,-0.6516143043043252
24,120660,728,696,32.0,21,1.0,2.195100574712644,6.394687500000001,78.0,72.0,6.0,3.0172413793103448,3.125,1.374534458269788,0.4886868983042564,0.45894307429488923,-1.0330176684383439
25,124304,2042,1816,226.0,40,7.0,1.3520870044052853,2.9294247787610637,232.1,221.9,10.2,2.2026431718061676,3.0973451327433628,1.6290691091842857,1.0573219545351553,0.7040478078920271,0.08041474425764868
