,surgid,total_year_avg,total_year_count,num_of_years,Year_avg_Firstop,Year_sum_Firstop,Year_avg_reop,Year_sum_reop,Mortality,Mortality_reop,Complics,Complics_reop,firstop/total,reop/total,mortalty_rate,mortalty_reop_rate,Complics_reop_rate
33,111293.0,115.2,1152.0,10,110.7,1107.0,4.5,45.0,18,2.0,478,26.0,96.09375,3.90625,1.5625,4.444444444444445,57.77777777777777
34,112554.0,13.11111111111111,118.0,9,12.444444444444445,112.0,0.6666666666666666,6.0,0,0.0,28,1.0,94.91525423728814,5.084745762711865,0.0,0.0,16.666666666666664
35,113921.0,51.7,517.0,10,48.5,485.0,3.2,32.0,2,0.0,152,11.0,93.81044487427465,6.189555125725339,0.3868471953578337,0.0,34.375
36,115571.0,82.1,821.0,10,77.8,778.0,4.3,43.0,9,1.0,210,12.0,94.76248477466504,5.237515225334957,1.0962241169305724,2.3255813953488373,27.906976744186046
37,116143.0,43.375,347.0,8,42.875,343.0,0.5,4.0,4,0.0,165,0.0,98.84726224783861,1.1527377521613833,1.1527377521613833,0.0,0.0
38,116687.0,91.8,918.0,10,85.3,853.0,6.5,65.0,11,1.0,332,36.0,92.9193899782135,7.080610021786492,1.1982570806100217,1.5384615384615385,55.38461538461539
39,117647.0,142.2,1422.0,10,131.6,1316.0,10.6,106.0,12,2.0,448,29.0,92.54571026722925,7.454289732770746,0.8438818565400843,1.8867924528301887,27.358490566037734
40,118532.0,60.2,602.0,10,57.4,574.0,2.8,28.0,4,2.0,202,10.0,95.34883720930233,4.651162790697675,0.6644518272425249,7.142857142857142,35.714285714285715
41,118684.0,37.77777777777778,340.0,9,34.22222222222222,308.0,3.5555555555555554,32.0,2,1.0,122,16.0,90.58823529411765,9.411764705882353,0.5882352941176471,3.125,50.0
42,118726.0,47.4,474.0,10,43.4,434.0,4.0,40.0,4,1.0,150,13.0,91.56118143459916,8.438818565400844,0.8438818565400843,2.5,32.5
43,118933.0,50.8,508.0,10,49.5,495.0,1.3,13.0,3,0.0,177,3.0,97.44094488188976,2.559055118110236,0.5905511811023622,0.0,23.076923076923077
44,119220.0,6.25,25.0,4,6.25,25.0,0.0,0.0,0,0.0,5,0.0,100.0,0.0,0.0,0.0,0.0
45,119834.0,60.0,600.0,10,57.2,572.0,2.8,28.0,10,0.0,157,9.0,95.33333333333334,4.666666666666667,1.6666666666666667,0.0,32.142857142857146
46,119970.0,73.5,735.0,10,70.2,702.0,3.3,33.0,4,0.0,250,9.0,95.51020408163265,4.489795918367347,0.5442176870748299,0.0,27.27272727272727
47,120164.0,39.6,396.0,10,38.4,384.0,1.2,12.0,8,0.0,157,4.0,96.96969696969697,3.0303030303030303,2.0202020202020203,0.0,33.33333333333333
48,120690.0,65.0,650.0,10,62.4,624.0,2.6,26.0,6,1.0,198,11.0,96.0,4.0,0.9230769230769231,3.8461538461538463,42.30769230769231
49,120883.0,70.1,701.0,10,68.6,686.0,1.5,15.0,4,1.0,220,3.0,97.8601997146933,2.1398002853067046,0.5706134094151213,6.666666666666667,20.0
50,122011.0,59.6,596.0,10,57.2,572.0,2.4,24.0,16,2.0,168,11.0,95.9731543624161,4.026845637583892,2.684563758389262,8.333333333333332,45.83333333333333
51,122075.0,78.5,785.0,10,74.8,748.0,3.7,37.0,5,0.0,277,19.0,95.28662420382166,4.713375796178345,0.6369426751592357,0.0,51.35135135135135
52,122158.0,51.2,512.0,10,48.0,480.0,3.2,32.0,9,0.0,178,13.0,93.75,6.25,1.7578125,0.0,40.625
53,122571.0,46.4,464.0,10,42.3,423.0,4.1,41.0,7,2.0,161,17.0,91.16379310344827,8.836206896551724,1.5086206896551724,4.878048780487805,41.46341463414634
54,122581.0,36.8,368.0,10,35.6,356.0,1.2,12.0,6,2.0,138,5.0,96.73913043478261,3.260869565217391,1.6304347826086956,16.666666666666664,41.66666666666667
55,123173.0,10.333333333333334,31.0,3,10.333333333333334,31.0,0.0,0.0,0,0.0,16,0.0,100.0,0.0,0.0,0.0,0.0
56,123485.0,13.0,91.0,7,12.428571428571429,87.0,0.5714285714285714,4.0,0,0.0,42,2.0,95.6043956043956,4.395604395604396,0.0,0.0,50.0
57,123508.0,209.5,2095.0,10,198.7,1987.0,10.8,108.0,12,1.0,576,39.0,94.84486873508354,5.155131264916467,0.5727923627684964,0.9259259259259258,36.11111111111111
58,124262.0,104.2,1042.0,10,90.6,906.0,13.6,136.0,18,7.0,471,72.0,86.9481765834933,13.051823416506716,1.727447216890595,5.147058823529411,52.94117647058824
59,124703.0,69.4,694.0,10,64.5,645.0,4.9,49.0,6,1.0,240,19.0,92.93948126801152,7.060518731988473,0.8645533141210375,2.0408163265306123,38.775510204081634
60,124716.0,30.2,302.0,10,27.8,278.0,2.4,24.0,3,0.0,158,19.0,92.05298013245033,7.9470198675496695,0.9933774834437087,0.0,79.16666666666666
61,125346.0,59.1,591.0,10,56.5,565.0,2.6,26.0,3,0.0,258,9.0,95.60067681895093,4.39932318104907,0.5076142131979695,0.0,34.61538461538461
62,125349.0,73.2,732.0,10,69.8,698.0,3.4,34.0,5,0.0,282,10.0,95.3551912568306,4.644808743169399,0.6830601092896175,0.0,29.411764705882355
63,125434.0,66.1,661.0,10,63.8,638.0,2.3,23.0,8,0.0,256,11.0,96.52042360060514,3.479576399394856,1.2102874432677762,0.0,47.82608695652174
64,125557.0,177.1,1771.0,10,160.6,1606.0,16.5,165.0,16,3.0,572,61.0,90.6832298136646,9.316770186335404,0.9034443817052512,1.8181818181818181,36.96969696969697
65,125586.0,51.2,512.0,10,38.1,381.0,13.1,131.0,6,2.0,408,116.0,74.4140625,25.5859375,1.171875,1.5267175572519083,88.54961832061069
66,125719.0,36.8,184.0,5,35.2,176.0,1.6,8.0,4,0.0,54,1.0,95.65217391304348,4.3478260869565215,2.1739130434782608,0.0,12.5
67,126018.0,94.5,945.0,10,87.9,879.0,6.6,66.0,18,0.0,394,30.0,93.01587301587301,6.984126984126984,1.9047619047619049,0.0,45.45454545454545
68,126486.0,25.1,251.0,10,23.4,234.0,1.7,17.0,0,0.0,103,8.0,93.22709163346613,6.772908366533864,0.0,0.0,47.05882352941176
69,126644.0,12.5,25.0,2,12.0,24.0,0.5,1.0,2,0.0,12,0.0,96.0,4.0,8.0,0.0,0.0
70,127457.0,32.5,325.0,10,28.7,287.0,3.8,38.0,5,1.0,129,16.0,88.3076923076923,11.692307692307692,1.5384615384615385,2.631578947368421,42.10526315789473
71,127667.0,94.2,942.0,10,88.9,889.0,5.3,53.0,24,2.0,277,16.0,94.37367303609342,5.626326963906582,2.547770700636943,3.7735849056603774,30.18867924528302
72,127718.0,2.0,2.0,1,2.0,2.0,0.0,0.0,0,0.0,1,0.0,100.0,0.0,0.0,0.0,0.0
73,127907.0,82.83333333333333,497.0,6,77.5,465.0,5.333333333333333,32.0,3,0.0,199,14.0,93.56136820925553,6.438631790744467,0.6036217303822937,0.0,43.75
74,128324.0,29.8,298.0,10,28.2,282.0,1.6,16.0,6,2.0,130,7.0,94.63087248322147,5.369127516778524,2.013422818791946,12.5,43.75
75,128365.0,86.4,864.0,10,79.0,790.0,7.4,74.0,9,1.0,360,39.0,91.43518518518519,8.564814814814815,1.0416666666666665,1.3513513513513513,52.702702702702695
76,128640.0,66.6,666.0,10,62.8,628.0,3.8,38.0,14,0.0,359,23.0,94.29429429429429,5.7057057057057055,2.1021021021021022,0.0,60.526315789473685
77,128814.0,19.333333333333332,116.0,6,17.5,105.0,1.8333333333333333,11.0,1,0.0,27,2.0,90.51724137931035,9.482758620689655,0.8620689655172413,0.0,18.181818181818183
78,129264.0,68.4,684.0,10,65.1,651.0,3.3,33.0,5,2.0,276,16.0,95.17543859649122,4.824561403508771,0.7309941520467835,6.0606060606060606,48.484848484848484
79,129342.0,23.4,117.0,5,22.4,112.0,1.0,5.0,1,0.0,47,3.0,95.72649572649573,4.273504273504273,0.8547008547008548,0.0,60.0
80,129390.0,24.666666666666668,148.0,6,22.0,132.0,2.6666666666666665,16.0,0,0.0,25,3.0,89.1891891891892,10.81081081081081,0.0,0.0,18.75
81,129527.0,104.4,1044.0,10,83.8,838.0,20.6,206.0,14,7.0,444,81.0,80.26819923371647,19.731800766283524,1.3409961685823755,3.3980582524271843,39.32038834951456
82,129598.0,14.833333333333334,89.0,6,13.833333333333334,83.0,1.0,6.0,2,1.0,48,4.0,93.25842696629213,6.741573033707865,2.247191011235955,16.666666666666664,66.66666666666666
