,SiteID,total_year_sum,total_year_avg,num_of_years,Year_sum_Firstop,Year_avg_Firstop,Year_avg_reop,Year_sum_reop,Mortality,Mortality_reop,Complics,Complics_reop,firstop/total,reop/total,mortalty_rate,mortalty_reop_rate,Complics_reop_rate
0,101551,753.0,125.5,6,718.0,119.66666666666667,5.833333333333333,35.0,10,1.0,285,15.0,95.3519256308101,4.648074369189907,1.3280212483399734,2.857142857142857,42.857142857142854
1,101998,4668.0,466.8,10,4294.0,429.4,37.4,374.0,52,5.0,1950,172.0,91.98800342759212,8.011996572407885,1.113967437874893,1.3368983957219251,45.98930481283423
2,102499,725.0,72.5,10,696.0,69.6,2.9,29.0,8,0.0,280,13.0,96.0,4.0,1.103448275862069,0.0,44.827586206896555
3,102619,614.0,61.4,10,520.0,52.0,9.4,94.0,10,4.0,302,52.0,84.69055374592834,15.309446254071663,1.6286644951140066,4.25531914893617,55.319148936170215
4,103172,1768.0,176.8,10,1649.0,164.9,11.9,119.0,49,5.0,694,56.0,93.26923076923077,6.730769230769231,2.771493212669683,4.201680672268908,47.05882352941176
5,107460,2069.0,206.9,10,1953.0,195.3,11.6,116.0,24,0.0,819,43.0,94.3934267762204,5.606573223779604,1.1599806669888835,0.0,37.06896551724138
6,107526,1848.0,184.8,10,1654.0,165.4,19.4,194.0,29,6.0,747,77.0,89.5021645021645,10.497835497835498,1.5692640692640691,3.0927835051546393,39.69072164948454
7,108507,1583.0,158.3,10,1486.0,148.6,9.7,97.0,19,1.0,610,45.0,93.87239418825017,6.127605811749842,1.2002526847757422,1.0309278350515463,46.391752577319586
8,109197,1892.0,189.2,10,1777.0,177.7,11.5,115.0,56,4.0,762,44.0,93.92177589852008,6.078224101479916,2.9598308668076108,3.4782608695652173,38.26086956521739
9,109726,2197.0,219.7,10,2061.0,206.1,13.6,136.0,39,4.0,953,75.0,93.8097405553027,6.190259444697315,1.7751479289940828,2.941176470588235,55.14705882352941
10,110671,960.0,96.0,10,904.0,90.4,5.6,56.0,11,2.0,485,39.0,94.16666666666667,5.833333333333333,1.1458333333333333,3.571428571428571,69.64285714285714
11,113652,1892.0,189.2,10,1792.0,179.2,10.0,100.0,21,3.0,778,48.0,94.71458773784354,5.2854122621564485,1.1099365750528543,3.0,48.0
12,113816,1097.0,109.7,10,1045.0,104.5,5.2,52.0,4,1.0,287,15.0,95.25979945305379,4.740200546946217,0.3646308113035551,1.9230769230769231,28.846153846153843
13,113870,208.0,69.33333333333333,3,198.0,66.0,3.3333333333333335,10.0,8,0.0,87,5.0,95.1923076923077,4.807692307692308,3.8461538461538463,0.0,50.0
14,114101,977.0,97.7,10,929.0,92.9,4.8,48.0,27,4.0,388,24.0,95.08700102354145,4.912998976458546,2.7635619242579326,8.333333333333332,50.0
15,114460,673.0,67.3,10,625.0,62.5,4.8,48.0,11,1.0,254,15.0,92.86775631500743,7.13224368499257,1.634472511144131,2.083333333333333,31.25
16,115160,909.0,90.9,10,865.0,86.5,4.4,44.0,11,1.0,334,18.0,95.15951595159517,4.84048404840484,1.21012101210121,2.272727272727273,40.909090909090914
17,118278,1741.0,174.1,10,1611.0,161.1,13.0,130.0,18,1.0,698,54.0,92.53302699597931,7.466973004020677,1.0338885697874785,0.7692307692307693,41.53846153846154
18,119112,70.0,35.0,2,68.0,34.0,1.0,2.0,2,0.0,15,1.0,97.14285714285714,2.857142857142857,2.857142857142857,0.0,50.0
19,119250,4670.0,467.0,10,4403.0,440.3,26.7,267.0,43,5.0,1748,111.0,94.28265524625267,5.717344753747324,0.9207708779443255,1.8726591760299627,41.57303370786517
20,119793,2609.0,260.9,10,2444.0,244.4,16.5,165.0,19,4.0,966,75.0,93.67573783058644,6.324262169413568,0.7282483710233806,2.4242424242424243,45.45454545454545
21,120660,728.0,72.8,10,696.0,69.6,3.2,32.0,22,1.0,423,19.0,95.6043956043956,4.395604395604396,3.021978021978022,3.125,59.375
22,124304,2042.0,204.2,10,1816.0,181.6,22.6,226.0,47,7.0,719,79.0,88.93241919686582,11.067580803134183,2.3016650342801177,3.0973451327433628,34.95575221238938
23,125220,2923.0,292.3,10,2755.0,275.5,16.8,168.0,49,6.0,1140,58.0,94.2524803284297,5.747519671570305,1.6763599042080055,3.571428571428571,34.523809523809526
24,126441,78.0,78.0,1,72.0,72.0,6.0,6.0,0,0.0,65,4.0,92.3076923076923,7.6923076923076925,0.0,0.0,66.66666666666666
25,127363,2321.0,232.1,10,2219.0,221.9,10.2,102.0,30,2.0,916,42.0,95.6053425247738,4.394657475226196,1.2925463162429989,1.9607843137254901,41.17647058823529
26,128031,2341.0,234.1,10,2154.0,215.4,18.7,187.0,20,0.0,735,62.0,92.01196070055532,7.988039299444681,0.8543357539513029,0.0,33.155080213903744
27,128987,465.0,46.5,10,436.0,43.6,2.9,29.0,6,2.0,129,18.0,93.76344086021506,6.236559139784946,1.2903225806451613,6.896551724137931,62.06896551724138
28,129434,2217.0,221.7,10,2062.0,206.2,15.5,155.0,21,2.0,619,42.0,93.00857013982859,6.991429860171403,0.9472259810554804,1.2903225806451613,27.09677419354839
29,129856,998.0,99.8,10,910.0,91.0,8.8,88.0,21,1.0,454,41.0,91.18236472945893,8.817635270541082,2.1042084168336674,1.1363636363636365,46.590909090909086
30,130690,777.0,77.7,10,713.0,71.3,6.4,64.0,12,3.0,224,27.0,91.76319176319177,8.236808236808237,1.5444015444015444,4.6875,42.1875
31,131740,628.0,62.8,10,560.0,56.0,6.8,68.0,7,1.0,254,26.0,89.171974522293,10.828025477707007,1.1146496815286624,1.4705882352941175,38.23529411764706
32,132353,1797.0,179.7,10,1737.0,173.7,6.0,60.0,14,2.0,469,16.0,96.661101836394,3.33889816360601,0.7790762381747357,3.3333333333333335,26.666666666666668
33,132944,1665.0,166.5,10,1566.0,156.6,9.9,99.0,14,2.0,600,39.0,94.05405405405406,5.9459459459459465,0.8408408408408409,2.0202020202020203,39.39393939393939
34,134302,2998.0,299.8,10,2849.0,284.9,14.9,149.0,39,3.0,1230,78.0,95.03002001334224,4.969979986657772,1.3008672448298866,2.013422818791946,52.348993288590606
35,134373,85.0,17.0,5,66.0,13.2,3.8,19.0,2,0.0,36,11.0,77.64705882352942,22.35294117647059,2.3529411764705883,0.0,57.89473684210527
36,135691,490.0,49.0,10,442.0,44.2,4.8,48.0,8,1.0,130,15.0,90.20408163265307,9.795918367346939,1.6326530612244898,2.083333333333333,31.25
37,135873,1791.0,179.1,10,1698.0,169.8,9.3,93.0,28,3.0,707,46.0,94.80737018425461,5.192629815745393,1.5633724176437744,3.225806451612903,49.46236559139785
38,136311,1079.0,107.9,10,1015.0,101.5,6.4,64.0,14,2.0,401,26.0,94.06858202038924,5.9314179796107505,1.2974976830398517,3.125,40.625
39,138114,1132.0,113.2,10,1031.0,103.1,10.1,101.0,18,1.0,494,41.0,91.07773851590106,8.92226148409894,1.5901060070671376,0.9900990099009901,40.5940594059406
40,140612,239.0,59.75,4,221.0,55.25,4.5,18.0,4,0.0,97,4.0,92.46861924686193,7.531380753138076,1.6736401673640167,0.0,22.22222222222222
41,141344,1371.0,137.1,10,1269.0,126.9,10.2,102.0,36,6.0,1136,92.0,92.5601750547046,7.439824945295405,2.62582056892779,5.88235294117647,90.19607843137256
42,141799,106.0,21.2,5,90.0,18.0,3.2,16.0,0,0.0,26,6.0,84.90566037735849,15.09433962264151,0.0,0.0,37.5
43,144593,926.0,92.6,10,879.0,87.9,4.7,47.0,8,1.0,269,14.0,94.9244060475162,5.075593952483802,0.8639308855291578,2.127659574468085,29.78723404255319
44,144631,1505.0,150.5,10,1410.0,141.0,9.5,95.0,14,2.0,623,41.0,93.68770764119601,6.312292358803987,0.9302325581395349,2.1052631578947367,43.15789473684211
